--- Execution profile ---
Total samples       : 3619

          ns  percent  samples  top
     3000000    0.08%        3  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.ChunkEntitySlices.getEntities
     3000000    0.08%        3  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable.get
     3000000    0.08%        3  net.minecraft.world.level.pathfinder.PathTypeCache.get
     3000000    0.08%        3  Dictionary::find_class
     3000000    0.08%        3  net.minecraft.world.level.pathfinder.Path.getNextNode
     3000000    0.08%        3  PhaseChaitin::build_ifg_physical
     3000000    0.08%        3  PhaseChaitin::build_ifg_virtual
     3000000    0.08%        3  PhaseChaitin::elide_copy
     3000000    0.08%        3  net.minecraft.world.entity.ai.goal.target.NearestAttackableTargetGoal.canUse
     3000000    0.08%        3  Matcher::find_shared
     3000000    0.08%        3  java.util.Objects.requireNonNull
     3000000    0.08%        3  java.util.TreeMap.successor
     3000000    0.08%        3  net.minecraft.world.entity.ai.navigation.PathNavigation.createPath
     3000000    0.08%        3  io.netty.buffer.PoolThreadCache.cacheForNormal
     3000000    0.08%        3  java.util.concurrent.ConcurrentLinkedDeque.unlinkFirst
     3000000    0.08%        3  java.util.concurrent.locks.LockSupport.parkNanos
     3000000    0.08%        3  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getShape
     3000000    0.08%        3  net.minecraft.world.level.block.SculkShriekerBlock$$Lambda.0x00000ffc02736500.tick
     3000000    0.08%        3  net.minecraft.core.SectionPos.of
     3000000    0.08%        3  io.netty.buffer.PooledUnsafeDirectByteBuf._setByte
     3000000    0.08%        3  TypeNode::bottom_type
     3000000    0.08%        3  net.minecraft.world.level.block.GrowingPlantHeadBlock.randomTick
     3000000    0.08%        3  net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket$$Lambda.0x00000ffc026aebe8.encode
     3000000    0.08%        3  net.minecraft.world.entity.animal.AbstractFish.requiresCustomPersistence
     3000000    0.08%        3  net.minecraft.world.entity.Entity.level
     3000000    0.08%        3  net.minecraft.world.entity.Entity.isSwimming
     3000000    0.08%        3  net.minecraft.world.entity.Entity.isPushedByFluid
     3000000    0.08%        3  net.minecraft.world.entity.Entity.isOnFire
     3000000    0.08%        3  net.minecraft.world.entity.Entity.isInWall
     3000000    0.08%        3  net.minecraft.world.entity.Entity.getZ
     3000000    0.08%        3  TypeInt::eq
     3000000    0.08%        3  net.minecraft.world.level.block.CrossCollisionBlock.getCollisionShape
     3000000    0.08%        3  net.minecraft.world.level.biome.BiomeManager.getBiome
     3000000    0.08%        3  net.minecraft.world.level.BlockAndTintGetter.getBrightness
     3000000    0.08%        3  net.minecraft.world.entity.monster.EnderMan.requiresCustomPersistence
     3000000    0.08%        3  net.minecraft.world.item.enchantment.EnchantmentHelper.runIterationOnItem
     3000000    0.08%        3  net.minecraft.server.level.ServerEntityGetter.getNearestEntity
     3000000    0.08%        3  net.minecraft.server.level.ServerLevel.moonrise$areChunksLoaded
     3000000    0.08%        3  net.minecraft.world.entity.monster.Spider$SpiderTargetGoal.canUse
     3000000    0.08%        3  net.minecraft.server.level.ServerLevel.playSeededSound
     3000000    0.08%        3  net.minecraft.server.level.ServerLevel.tickNonPassenger
     3000000    0.08%        3  net.minecraft.server.level.ServerPlayer.isImmobile
     3000000    0.08%        3  net.minecraft.world.entity.vehicle.AbstractMinecart.tick
     3000000    0.08%        3  Reflection::verify_member_access
     2000000    0.06%        2  net.minecraft.network.VarInt.write
     2000000    0.06%        2  PhaseChaitin::stretch_base_pointer_live_ranges
     2000000    0.06%        2  PhiNode::Opcode
     2000000    0.06%        2  net.minecraft.world.entity.Entity.collide
     2000000    0.06%        2  net.minecraft.world.entity.player.Player.awardStat
     2000000    0.06%        2  net.minecraft.world.entity.Entity.baseTick
     2000000    0.06%        2  PredicateBlockIterator::PredicateBlockIterator
     2000000    0.06%        2  net.minecraft.world.entity.player.Player.maybeBackOffFromEdge
     2000000    0.06%        2  net.minecraft.world.entity.player.Player.moveCloak
     2000000    0.06%        2  net.minecraft.util.random.WeightedRandom.getWeightedItem
     2000000    0.06%        2  net.minecraft.world.entity.player.Player.aiStep
     2000000    0.06%        2  net.minecraft.util.profiling.Profiler.get
     2000000    0.06%        2  RegMask::is_aligned_pairs
     2000000    0.06%        2  net.minecraft.util.SimpleBitStorage.get
     2000000    0.06%        2  net.minecraft.world.entity.player.Player.updateSwimming
     2000000    0.06%        2  net.minecraft.server.network.ServerGamePacketListenerImpl.shouldHandleMessage
     2000000    0.06%        2  net.minecraft.world.entity.Entity.getControllingPassenger
     2000000    0.06%        2  net.minecraft.server.network.ServerGamePacketListenerImpl.containsInvalidValues
     2000000    0.06%        2  net.minecraft.server.level.ServerPlayer.tick
     2000000    0.06%        2  net.minecraft.world.entity.monster.Zombie.getType
     2000000    0.06%        2  RelocIterator::reloc
     2000000    0.06%        2  PhaseOutput::BuildOopMaps
     2000000    0.06%        2  net.minecraft.world.inventory.AbstractContainerMenu.getCarried
     2000000    0.06%        2  net.minecraft.world.entity.Entity.getFirstPassenger
     2000000    0.06%        2  LoopPredicate::apply
     2000000    0.06%        2  PhaseIterGVN::transform_old
     2000000    0.06%        2  net.minecraft.world.item.enchantment.EnchantmentHelper.runIterationOnEquipment
     2000000    0.06%        2  net.minecraft.world.entity.Entity.getMovementEmission
     2000000    0.06%        2  net.minecraft.server.level.ServerChunkCache.pollTask
     2000000    0.06%        2  net.minecraft.server.level.ServerChunkCache.getFullChunk
     2000000    0.06%        2  net.minecraft.server.level.ServerChunkCache.getChunk
     2000000    0.06%        2  net.minecraft.world.entity.Entity.getTicksFrozen
     2000000    0.06%        2  net.minecraft.world.level.BlockCollisions.computeNext
     2000000    0.06%        2  State::MachOperGenerator
     2000000    0.06%        2  State::_sub_Op_ConI
     2000000    0.06%        2  net.minecraft.world.level.GameRules.getBoolean
     2000000    0.06%        2  net.minecraft.world.level.Level.getCurrentWorldData
     2000000    0.06%        2  JavaThreadParkedState::JavaThreadParkedState
     2000000    0.06%        2  net.minecraft.world.level.Level.moonrise$getHardCollidingEntities
     2000000    0.06%        2  JVM_IHashCode
     2000000    0.06%        2  net.minecraft.world.entity.animal.Squid.aiStep
     2000000    0.06%        2  net.minecraft.server.MinecraftServer.moonrise$executeMidTickTasks
     2000000    0.06%        2  net.minecraft.world.entity.animal.Squid$SquidRandomMovementGoal.tick
     2000000    0.06%        2  TypeInstPtr::xmeet_helper
     2000000    0.06%        2  PhaseIdealLoop::try_sink_out_of_loop
     2000000    0.06%        2  PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     2000000    0.06%        2  net.minecraft.network.protocol.game.ClientboundMoveEntityPacket$PosRot.type
     2000000    0.06%        2  net.minecraft.network.protocol.game.ClientboundEntityEventPacket$$Lambda.0x00000ffc0268d0b0.encode
     2000000    0.06%        2  net.minecraft.network.protocol.PacketUtils.lambda$ensureRunningOnSameThread$1
     2000000    0.06%        2  net.minecraft.network.protocol.Packet.onPacketDispatch
     2000000    0.06%        2  net.minecraft.world.entity.Entity.playSound
     2000000    0.06%        2  net.minecraft.network.codec.StreamCodec$2.encode
     2000000    0.06%        2  MachNode::rematerialize
     2000000    0.06%        2  PhaseIdealLoop::build_loop_late
     2000000    0.06%        2  Node::is_CFG
     2000000    0.06%        2  net.minecraft.world.level.block.SculkSensorBlock$$Lambda.0x00000ffc02717060.tick
     2000000    0.06%        2  TypeOopPtr::klass
     2000000    0.06%        2  net.minecraft.network.Connection.canWrite
     2000000    0.06%        2  net.minecraft.core.Vec3i.equals
     2000000    0.06%        2  Unique_Node_List::remove
     2000000    0.06%        2  net.minecraft.world.entity.animal.AbstractFish.aiStep
     2000000    0.06%        2  net.minecraft.world.entity.Entity.setAirSupply
     2000000    0.06%        2  net.minecraft.core.BlockPos$4.<init>
     2000000    0.06%        2  net.minecraft.advancements.critereon.SimpleCriterionTrigger.trigger
     2000000    0.06%        2  ValueRecorder<Metadata*>::maybe_find_index
     2000000    0.06%        2  net.minecraft.Util.getRandom
     2000000    0.06%        2  net.minecraft.world.level.block.SnowLayerBlock.randomTick
     2000000    0.06%        2  mach_vm_reclaim_update_kernel_accounting_trap
     2000000    0.06%        2  net.minecraft.world.level.block.SpawnerBlock$$Lambda.0x00000ffc02600860.tick
     2000000    0.06%        2  net.minecraft.world.entity.animal.AbstractFish$FishMoveControl.tick
     2000000    0.06%        2  net.minecraft.world.level.block.state.BlockBehaviour.getShape
     2000000    0.06%        2  loadConNKlassNode::rule
     2000000    0.06%        2  net.minecraft.world.level.border.WorldBorder.isWithinBounds
     2000000    0.06%        2  GrowableBitMap<ArenaBitMap>::resize
     2000000    0.06%        2  GrowableArrayWithAllocator<long, GrowableArray<long>>::expand_to
     2000000    0.06%        2  _platform_strlen
     2000000    0.06%        2  _pthread_cond_wait
     2000000    0.06%        2  net.minecraft.world.level.chunk.LevelChunk.getBlockState
     2000000    0.06%        2  net.minecraft.world.entity.ai.navigation.PathNavigation.isDone
     2000000    0.06%        2  _xzm_xzone_malloc_tiny
     2000000    0.06%        2  GraphKit::add_safepoint_edges
     2000000    0.06%        2  java.util.concurrent.ThreadLocalRandom.current
     2000000    0.06%        2  bsearch
     2000000    0.06%        2  PhaseIFG::SquareUp
     2000000    0.06%        2  net.minecraft.world.entity.ai.memory.NearestVisibleLivingEntities.findClosest
     2000000    0.06%        2  net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.getSeaLevel
     2000000    0.06%        2  zero_blocks
     2000000    0.06%        2  net.minecraft.world.level.levelgen.structure.StructureStart.getBoundingBox
     2000000    0.06%        2  net.minecraft.world.level.material.FlowingFluid.getFlow
     2000000    0.06%        2  Matcher::Label_Root
     2000000    0.06%        2  net.minecraft.world.level.material.LavaFluid.randomTick
     2000000    0.06%        2  PhiNode::Ideal
     2000000    0.06%        2  ca.spottedleaf.concurrentutil.util.HashUtil.mix
     2000000    0.06%        2  java.util.Objects.hashCode
     2000000    0.06%        2  ca.spottedleaf.leafprofiler.RegionizedProfiler$Handle.checkStop
     2000000    0.06%        2  net.minecraft.world.level.pathfinder.Path.getEntityPosAtNode
     2000000    0.06%        2  Matcher::is_vshift_con_pattern
     2000000    0.06%        2  java.util.ImmutableCollections$List12.get
     2000000    0.06%        2  net.minecraft.world.level.pathfinder.Path.isDone
     2000000    0.06%        2  java.util.HashSet.size
     2000000    0.06%        2  net.minecraft.world.level.pathfinder.PathFinder.findPath
     2000000    0.06%        2  net.minecraft.world.entity.GlowSquid.aiStep
     2000000    0.06%        2  java.util.HashMap.hash
     2000000    0.06%        2  ca.spottedleaf.moonrise.common.util.TickThread.ensureTickThread
